controller,scenario_id,regime,raw_conformance_rate,strong_replay_rate,productive_success_rate,safe_nonproductive_rate,tasks_completed_mean,tasks_completed_stdev,task_latency_ms_p95_mean,top_outcome_class,top_failure_or_safe_fail_reason,n_seeds
centralized,lab_profile_v0,baseline,1.0,1.0,1.0,0.0,5.0,0.0,50.3729249665883,success_safe,outcome:success_safe,20
rep_cps,lab_profile_v0,baseline,1.0,1.0,1.0,0.0,5.0,0.0,50.3729249665883,success_safe,outcome:success_safe,20
centralized,lab_profile_v0,coordination_shock,0.85,0.85,0.45,0.0,4.15,0.9880869341680844,156.47029211205114,partial_safe,PONR coverage: trace missing task_end for: disposition_commit,20
rep_cps,lab_profile_v0,coordination_shock,0.85,0.85,0.45,0.0,4.15,0.9880869341680844,156.47029211205114,partial_safe,PONR coverage: trace missing task_end for: disposition_commit,20
centralized,lab_profile_v0,moderate,1.0,1.0,0.8,0.0,4.75,0.5501196042201808,39.86453851989192,success_safe,outcome:success_safe,20
rep_cps,lab_profile_v0,moderate,1.0,1.0,0.8,0.0,4.75,0.5501196042201808,39.86453851989192,success_safe,outcome:success_safe,20
centralized,lab_profile_v0,stress,0.85,0.85,0.55,0.0,4.35,0.8750939799154206,66.55532227566667,success_safe,PONR coverage: trace missing task_end for: disposition_commit,20
rep_cps,lab_profile_v0,stress,0.85,0.85,0.55,0.0,4.35,0.8750939799154206,66.55532227566667,success_safe,PONR coverage: trace missing task_end for: disposition_commit,20
centralized,rep_cps_scheduling_v0,baseline,1.0,1.0,1.0,0.0,4.0,0.0,35.3679540442906,success_safe,outcome:success_safe,20
rep_cps,rep_cps_scheduling_v0,baseline,1.0,1.0,1.0,0.0,4.0,0.0,35.3679540442906,success_safe,outcome:success_safe,20
centralized,rep_cps_scheduling_v0,coordination_shock,1.0,1.0,0.55,0.0,3.3,0.9233805168766387,147.2510473491014,success_safe,outcome:success_safe,20
rep_cps,rep_cps_scheduling_v0,coordination_shock,1.0,1.0,0.0,1.0,0.0,0.0,0.0,partial_safe,outcome:partial_safe,20
centralized,rep_cps_scheduling_v0,moderate,1.0,1.0,0.75,0.0,3.75,0.44426165831931924,34.94317766032185,success_safe,outcome:success_safe,20
rep_cps,rep_cps_scheduling_v0,moderate,1.0,1.0,0.75,0.0,3.75,0.44426165831931924,34.94317766032185,success_safe,outcome:success_safe,20
centralized,rep_cps_scheduling_v0,stress,1.0,1.0,0.65,0.0,3.6,0.5982430416161189,73.62470511513062,success_safe,outcome:success_safe,20
rep_cps,rep_cps_scheduling_v0,stress,1.0,1.0,0.65,0.0,3.6,0.5982430416161189,73.62470511513062,success_safe,outcome:success_safe,20
centralized,toy_lab_v0,baseline,1.0,1.0,1.0,0.0,4.0,0.0,35.3679540442906,success_safe,outcome:success_safe,20
rep_cps,toy_lab_v0,baseline,1.0,1.0,1.0,0.0,4.0,0.0,35.3679540442906,success_safe,outcome:success_safe,20
centralized,toy_lab_v0,coordination_shock,1.0,1.0,0.55,0.0,3.3,0.9233805168766387,147.2510473491014,success_safe,outcome:success_safe,20
rep_cps,toy_lab_v0,coordination_shock,1.0,1.0,0.55,0.0,3.3,0.9233805168766387,147.2510473491014,success_safe,outcome:success_safe,20
centralized,toy_lab_v0,moderate,1.0,1.0,0.75,0.0,3.75,0.44426165831931924,34.94317766032185,success_safe,outcome:success_safe,20
rep_cps,toy_lab_v0,moderate,1.0,1.0,0.75,0.0,3.75,0.44426165831931924,34.94317766032185,success_safe,outcome:success_safe,20
centralized,toy_lab_v0,stress,1.0,1.0,0.65,0.0,3.6,0.5982430416161189,73.62470511513062,success_safe,outcome:success_safe,20
rep_cps,toy_lab_v0,stress,1.0,1.0,0.65,0.0,3.6,0.5982430416161189,73.62470511513062,success_safe,outcome:success_safe,20
