focus_type,version_label,version_type,controller,scenario_id,regime,raw_conformance_rate,strong_replay_rate,release_allow_rate,productive_success_rate,safe_nonproductive_rate,tasks_completed_mean,tasks_completed_stdev,task_latency_ms_p95_mean,n_runs
explicit_target,V0_stable_baseline,stable,centralized,rep_cps_scheduling_v0,baseline,1.0,1.0,1.0,1.0,0.0,4.0,0.0,35.3679540442906,20
explicit_target,V2_regressive_update,regressive_update,centralized,rep_cps_scheduling_v0,baseline,1.0,1.0,1.0,1.0,0.0,4.0,0.0,35.3679540442906,20
explicit_target,V0_stable_baseline,stable,rep_cps,rep_cps_scheduling_v0,baseline,1.0,1.0,1.0,1.0,0.0,4.0,0.0,35.3679540442906,20
explicit_target,V2_regressive_update,regressive_update,rep_cps,rep_cps_scheduling_v0,baseline,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,20
explicit_target,V0_stable_baseline,stable,centralized,rep_cps_scheduling_v0,coordination_shock,1.0,1.0,1.0,0.55,0.0,3.3,0.9233805168766387,147.2510473491014,20
explicit_target,V2_regressive_update,regressive_update,centralized,rep_cps_scheduling_v0,coordination_shock,1.0,1.0,1.0,0.55,0.0,3.3,0.9233805168766387,147.2510473491014,20
explicit_target,V0_stable_baseline,stable,rep_cps,rep_cps_scheduling_v0,coordination_shock,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,20
explicit_target,V2_regressive_update,regressive_update,rep_cps,rep_cps_scheduling_v0,coordination_shock,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,20
max_abs_delta_tasks_completed_mean,V0_stable_baseline,stable,rep_cps,rep_cps_scheduling_v0,baseline,1.0,1.0,1.0,1.0,0.0,4.0,0.0,35.3679540442906,20
max_abs_delta_tasks_completed_mean,V2_regressive_update,regressive_update,rep_cps,rep_cps_scheduling_v0,baseline,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,20
max_delta_safe_nonproductive_rate,V0_stable_baseline,stable,rep_cps,rep_cps_scheduling_v0,baseline,1.0,1.0,1.0,1.0,0.0,4.0,0.0,35.3679540442906,20
max_delta_safe_nonproductive_rate,V2_regressive_update,regressive_update,rep_cps,rep_cps_scheduling_v0,baseline,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,20
