version_label,version_type,controller,scenario_id,regime,raw_conformance_rate,strong_replay_rate,release_allow_rate,productive_success_rate,safe_nonproductive_rate,tasks_completed_mean,tasks_completed_stdev,task_latency_ms_p95_mean,n_runs
V0_stable_baseline,stable,centralized,lab_profile_v0,baseline,1.0,1.0,1.0,1.0,0.0,5.0,0.0,50.3729249665883,20
V0_stable_baseline,stable,centralized,lab_profile_v0,coordination_shock,0.85,0.85,0.85,0.45,0.0,4.15,0.9880869341680844,156.47029211205114,20
V0_stable_baseline,stable,centralized,rep_cps_scheduling_v0,baseline,1.0,1.0,1.0,1.0,0.0,4.0,0.0,35.3679540442906,20
V0_stable_baseline,stable,centralized,rep_cps_scheduling_v0,coordination_shock,1.0,1.0,1.0,0.55,0.0,3.3,0.9233805168766387,147.2510473491014,20
V0_stable_baseline,stable,centralized,toy_lab_v0,baseline,1.0,1.0,1.0,1.0,0.0,4.0,0.0,35.3679540442906,20
V0_stable_baseline,stable,centralized,toy_lab_v0,coordination_shock,1.0,1.0,1.0,0.55,0.0,3.3,0.9233805168766387,147.2510473491014,20
V0_stable_baseline,stable,rep_cps,lab_profile_v0,baseline,1.0,1.0,1.0,1.0,0.0,5.0,0.0,50.3729249665883,20
V0_stable_baseline,stable,rep_cps,lab_profile_v0,coordination_shock,0.85,0.85,0.85,0.45,0.0,4.15,0.9880869341680844,156.47029211205114,20
V0_stable_baseline,stable,rep_cps,rep_cps_scheduling_v0,baseline,1.0,1.0,1.0,1.0,0.0,4.0,0.0,35.3679540442906,20
V0_stable_baseline,stable,rep_cps,rep_cps_scheduling_v0,coordination_shock,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,20
V0_stable_baseline,stable,rep_cps,toy_lab_v0,baseline,1.0,1.0,1.0,1.0,0.0,4.0,0.0,35.3679540442906,20
V0_stable_baseline,stable,rep_cps,toy_lab_v0,coordination_shock,1.0,1.0,1.0,0.55,0.0,3.3,0.9233805168766387,147.2510473491014,20
V1_benign_update,benign_update,centralized,lab_profile_v0,baseline,1.0,1.0,1.0,1.0,0.0,5.0,0.0,52.38784196525184,20
V1_benign_update,benign_update,centralized,lab_profile_v0,coordination_shock,0.85,0.85,0.85,0.45,0.0,4.15,0.9880869341680844,101.70568987283323,20
V1_benign_update,benign_update,centralized,rep_cps_scheduling_v0,baseline,1.0,1.0,1.0,1.0,0.0,4.0,0.0,36.78267220606223,20
V1_benign_update,benign_update,centralized,rep_cps_scheduling_v0,coordination_shock,1.0,1.0,1.0,0.55,0.0,3.3,0.9233805168766387,95.7131807769159,20
V1_benign_update,benign_update,centralized,toy_lab_v0,baseline,1.0,1.0,1.0,1.0,0.0,4.0,0.0,36.78267220606223,20
V1_benign_update,benign_update,centralized,toy_lab_v0,coordination_shock,1.0,1.0,1.0,0.55,0.0,3.3,0.9233805168766387,95.7131807769159,20
V1_benign_update,benign_update,rep_cps,lab_profile_v0,baseline,1.0,1.0,1.0,1.0,0.0,5.0,0.0,52.38784196525184,20
V1_benign_update,benign_update,rep_cps,lab_profile_v0,coordination_shock,0.85,0.85,0.85,0.45,0.0,4.15,0.9880869341680844,101.70568987283323,20
V1_benign_update,benign_update,rep_cps,rep_cps_scheduling_v0,baseline,1.0,1.0,1.0,1.0,0.0,4.0,0.0,36.78267220606223,20
V1_benign_update,benign_update,rep_cps,rep_cps_scheduling_v0,coordination_shock,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,20
V1_benign_update,benign_update,rep_cps,toy_lab_v0,baseline,1.0,1.0,1.0,1.0,0.0,4.0,0.0,36.78267220606223,20
V1_benign_update,benign_update,rep_cps,toy_lab_v0,coordination_shock,1.0,1.0,1.0,0.55,0.0,3.3,0.9233805168766387,95.7131807769159,20
V2_regressive_update,regressive_update,centralized,lab_profile_v0,baseline,1.0,1.0,1.0,1.0,0.0,5.0,0.0,50.3729249665883,20
V2_regressive_update,regressive_update,centralized,lab_profile_v0,coordination_shock,0.85,0.85,0.85,0.45,0.0,4.15,0.9880869341680844,156.47029211205114,20
V2_regressive_update,regressive_update,centralized,rep_cps_scheduling_v0,baseline,1.0,1.0,1.0,1.0,0.0,4.0,0.0,35.3679540442906,20
V2_regressive_update,regressive_update,centralized,rep_cps_scheduling_v0,coordination_shock,1.0,1.0,1.0,0.55,0.0,3.3,0.9233805168766387,147.2510473491014,20
V2_regressive_update,regressive_update,centralized,toy_lab_v0,baseline,1.0,1.0,1.0,1.0,0.0,4.0,0.0,35.3679540442906,20
V2_regressive_update,regressive_update,centralized,toy_lab_v0,coordination_shock,1.0,1.0,1.0,0.55,0.0,3.3,0.9233805168766387,147.2510473491014,20
V2_regressive_update,regressive_update,rep_cps,lab_profile_v0,baseline,1.0,1.0,1.0,1.0,0.0,5.0,0.0,50.3729249665883,20
V2_regressive_update,regressive_update,rep_cps,lab_profile_v0,coordination_shock,0.85,0.85,0.85,0.45,0.0,4.15,0.9880869341680844,156.47029211205114,20
V2_regressive_update,regressive_update,rep_cps,rep_cps_scheduling_v0,baseline,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,20
V2_regressive_update,regressive_update,rep_cps,rep_cps_scheduling_v0,coordination_shock,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,20
V2_regressive_update,regressive_update,rep_cps,toy_lab_v0,baseline,1.0,1.0,1.0,1.0,0.0,4.0,0.0,35.3679540442906,20
V2_regressive_update,regressive_update,rep_cps,toy_lab_v0,coordination_shock,1.0,1.0,1.0,0.55,0.0,3.3,0.9233805168766387,147.2510473491014,20
